,ID,Category,lat,lng
8,4cca7bd67965b60c80f0858a,Other Great Outdoors,35.75575922,139.7335732
22,4d1bcae9f8ca236a2ff7f030,Other Great Outdoors,35.66993326,139.825227
139,4b63fae9f964a520b4992ae3,Other Great Outdoors,35.66214296,139.7328007
154,4b6545c5f964a52064eb2ae3,Other Great Outdoors,35.70585469,139.649899
172,4ba5977af964a520d61439e3,Other Great Outdoors,35.66529713,139.7367247
244,4b56fc09f964a520c52128e3,Other Great Outdoors,35.67027536,139.6706271
259,4d44a162bf61a1cd77ff0aac,Other Great Outdoors,35.56501395,139.6809704
317,4e0ddb7c62e1d5a30cfaeda4,Other Great Outdoors,35.65713961,139.7528323
544,4dc642e5fa76d685cdf6822c,Other Great Outdoors,35.76902767,139.8838117
627,4cf6d57971538cfa38c8b72e,Other Great Outdoors,35.65333256,139.7572243
649,4b7f961bf964a5208c3530e3,Garden,35.68333952,139.7605562
726,4f729013e4b0905384b2e359,Other Great Outdoors,35.64388072,139.6995011
773,4d5f51ee039188bfa3cb7123,Other Great Outdoors,35.67500799,139.7584641
840,4ec09a4fbe7b04923ccd270d,Sculpture Garden,35.65730279,139.5435709
917,4c986d7f4804a1439372eb0e,Sculpture Garden,35.65436596,139.7568842
1082,4db107b91e729fcc564a5ea1,Garden,35.63101585,139.7346342
1095,4c1c14c1eac020a199ff45c2,Factory,35.54200436,139.7887301
1265,4b73ca50f964a520eebb2de3,Other Great Outdoors,35.70349804,139.5803788
1306,4f7bc4d2e4b03d7e4e7109a0,Factory,35.59782164,139.7344097
1384,4b5903bef964a520887828e3,Garden,35.62087919,139.7366997
1456,4f79adf7e4b0ca8cfefe3e33,Other Great Outdoors,35.734277,139.769654
1472,4cf6d57971538cfa38c8b72e,Other Great Outdoors,35.65333256,139.7572243
1497,4b641d46f964a520bd9f2ae3,Other Great Outdoors,35.56445899,139.6396422
1536,4dfde879483b96a3aaaad1a9,Other Great Outdoors,35.58254534,139.6696864
1546,4bbbe77a3de8c9b698749aad,Other Great Outdoors,35.56143922,139.6398836
1566,4e1c2d9018a8c65001f91bcc,Factory,35.74416399,139.7538954
1579,4bad9942f964a520195e3be3,Garden,35.62641334,139.7413516
1660,4b58ec71f964a520467328e3,Garden,35.68036781,139.7567046
1693,4b63ae30f964a520ac8b2ae3,Recycling Facility,35.70054886,139.7711992
1714,4b5ff761f964a520f1d129e3,Garden,35.68525669,139.7094655
1763,4b5ff761f964a520f1d129e3,Garden,35.68525669,139.7094655
1962,4dadf9654df0f639f2428045,Other Great Outdoors,35.62587265,139.7074485
2180,4e1c2d9018a8c65001f91bcc,Factory,35.74416399,139.7538954
2196,4b64112af964a520979d2ae3,Other Great Outdoors,35.5837139,139.6296
2243,4d44a162bf61a1cd77ff0aac,Other Great Outdoors,35.56501395,139.6809704
2504,4be6207a910020a13308d414,Garden,35.68764438,139.7907794
2902,4cf6d57971538cfa38c8b72e,Other Great Outdoors,35.65333256,139.7572243
3430,4b6caf53f964a520104c2ce3,Other Great Outdoors,35.68443972,139.7371486
3587,4bd3c7fb462cb7135954df07,Other Great Outdoors,35.71135835,139.7758824
3713,4b7e61a2f964a520e0ea2fe3,Other Great Outdoors,35.64569258,139.4897604
3854,4f475d416d8678c4752b869e,Other Great Outdoors,35.66128871,139.6116829
4072,4cca7bd67965b60c80f0858a,Other Great Outdoors,35.75575922,139.7335732
4097,4b56fc09f964a520c52128e3,Other Great Outdoors,35.67027536,139.6706271
4150,4cf6d57971538cfa38c8b72e,Other Great Outdoors,35.65347332,139.7572193
4170,4d93c36084a6a35d049349b8,Other Great Outdoors,35.60903575,139.7355572
4232,4c986d7f4804a1439372eb0e,Sculpture Garden,35.65436596,139.7568842
4319,4f131500e4b0865b0942540a,Garden,35.72832866,139.5531249
4324,4bbd2eef078095211e5bda91,Garden Center,35.72345902,139.620055
4637,4d12e9f840e6548173b3931a,Other Great Outdoors,35.6965845,139.7354025
4670,4d44a162bf61a1cd77ff0aac,Other Great Outdoors,35.56501395,139.6809704
5018,4b568200f964a520561328e3,Garden,35.73313786,139.7465122
5256,4e0e98c552b1b27c1b891f9a,Other Great Outdoors,35.71512362,139.7389948
5279,4baeaa93f964a520b1cc3be3,Other Great Outdoors,35.71625813,139.7414397
5379,4b6caf53f964a520104c2ce3,Other Great Outdoors,35.68443972,139.7371486
5382,4b568200f964a520561328e3,Garden,35.73313786,139.7465122
5739,4f729013e4b0905384b2e359,Other Great Outdoors,35.64388072,139.6995011
6107,4b6cd94df964a520f1582ce3,Garden,35.60671075,139.6690553
6160,4f729013e4b0905384b2e359,Other Great Outdoors,35.64388072,139.6995011
6171,4e29771b18384dd0a0eb0fe5,Other Great Outdoors,35.68293325,139.7368594
6194,4b6c0f00f964a520c6212ce3,Sculpture Garden,35.65906803,139.700574
6273,4bd3c7fb462cb7135954df07,Other Great Outdoors,35.71135835,139.7758824
6532,4b653431f964a520cbe82ae3,Other Great Outdoors,35.60724346,139.6690435
6611,4cca7bd67965b60c80f0858a,Other Great Outdoors,35.75575922,139.7335732
6713,4b6545c5f964a52064eb2ae3,Other Great Outdoors,35.70585469,139.649899
6733,4bc01ceaabf4952167eabe93,Other Great Outdoors,35.62043959,139.5753017
6750,4f729013e4b0905384b2e359,Other Great Outdoors,35.64388072,139.6995011
6759,4dadf9654df0f639f2428045,Other Great Outdoors,35.62587265,139.7074485
6773,4b6be54bf964a520c41b2ce3,Other Great Outdoors,35.692349,139.701094
6872,4b9c7902f964a520146b36e3,Other Great Outdoors,35.58534553,139.6748382
6887,4d44a162bf61a1cd77ff0aac,Other Great Outdoors,35.56501395,139.6809704
6893,4d02cac0e350b60cbc1e7942,Other Great Outdoors,35.840821,139.728697
6966,4d966d33744f3704c175ba57,Other Great Outdoors,35.86341355,139.7175139
6993,4e43230e22710a4e95b889ab,Other Great Outdoors,35.62263734,139.6635518
7003,4b9c8c7cf964a520946f36e3,Other Great Outdoors,35.71526695,139.7219731
7013,4b9c7902f964a520146b36e3,Other Great Outdoors,35.58534553,139.6748382
7029,4bb4097a643cd13a905e395c,Other Great Outdoors,35.78785403,139.7222221
7086,4e61e4eed4c06542aab4cc93,Other Great Outdoors,35.8254583,139.7549953
7105,4e8699e3775b183b86a5ef08,Garden,35.7061,139.609864
7120,4be533e42468c9280ec9ff42,Other Great Outdoors,35.56817494,139.6780745
7165,4ba42635f964a520998638e3,Other Great Outdoors,35.67282038,139.6943164
7189,4be690ed78e8952152c464ce,Sculpture Garden,35.64335813,139.609167
7282,4da0e94eb521224b1714e9ed,Other Great Outdoors,35.55690596,139.6856063
7285,4ba42635f964a520998638e3,Other Great Outdoors,35.67282038,139.6943164
7320,4b5ff761f964a520f1d129e3,Garden,35.68525669,139.7094655
7342,4bd56dd66f649521fc006fec,Other Great Outdoors,35.60176472,139.6904755
7527,4f729013e4b0905384b2e359,Other Great Outdoors,35.64388072,139.6995011
7631,4b653431f964a520cbe82ae3,Other Great Outdoors,35.60724346,139.6690435
7677,4bb4097a643cd13a905e395c,Other Great Outdoors,35.78785403,139.7222221
7716,4b5ff761f964a520f1d129e3,Garden,35.68525669,139.7094655
7731,4c00832134ccc9287ac6e1cd,Other Great Outdoors,35.80175167,139.6758306
7744,4b8b6d26f964a5202f9f32e3,Other Great Outdoors,35.68529155,139.7307837
7761,4e7f05aeb6342b7532acb2b3,Other Great Outdoors,35.69304691,139.7479928
7807,4b5ff761f964a520f1d129e3,Garden,35.68525669,139.7094655
7858,4de831aad22d09215a1755c2,Other Great Outdoors,35.81167085,139.591105
7873,4d44a162bf61a1cd77ff0aac,Other Great Outdoors,35.56501395,139.6809704
7886,4bd56dd66f649521fc006fec,Other Great Outdoors,35.60176472,139.6904755
7937,4b9c7902f964a520146b36e3,Other Great Outdoors,35.58534553,139.6748382
7965,4b64f5b3f964a52067dc2ae3,Garden,35.58827059,139.6684903
7993,4b5903bef964a520887828e3,Garden,35.62087919,139.7366997
8002,4b5ff761f964a520f1d129e3,Garden,35.68525669,139.7094655
8103,4ba42635f964a520998638e3,Other Great Outdoors,35.67282038,139.6943164
8153,4b80a5fff964a5207d8330e3,Garden,35.75769724,139.7327034
8228,4b7f961bf964a5208c3530e3,Garden,35.68333952,139.7605562
8233,4bbdb838078095218bd8da91,Other Great Outdoors,35.60716511,139.6702944
8252,4b9af828f964a520e6e735e3,Other Great Outdoors,35.68306719,139.8474571
8285,4b568200f964a520561328e3,Garden,35.73313786,139.7465122
8308,4e3deaa22271d21e86fda99f,Harbor / Marina,35.54589416,139.751964
8319,4b9c7902f964a520146b36e3,Other Great Outdoors,35.58534553,139.6748382
8352,4c3e9e6b1ef0d13a7fa19280,Other Great Outdoors,35.70602675,139.7678357
8409,4b653431f964a520cbe82ae3,Other Great Outdoors,35.60724346,139.6690435
8427,4eea69044690034a801de24c,Other Great Outdoors,35.73981455,139.7906886
8431,4b566b11f964a520890f28e3,Garden,35.68579698,139.7566617
8452,4baeaa93f964a520b1cc3be3,Other Great Outdoors,35.71625813,139.7414397
