,ID,Category,lat,lng
69,4b5ef108f964a520d89e29e3,Gym / Fitness Center,35.64762809,139.8190391
89,4b7d7de1f964a5200bc22fe3,Other Nightlife,35.70618888,139.6469652
385,4b54ea63f964a520efd227e3,Movie Theater,35.69001021,139.7058928
461,4b570f57f964a520cb2428e3,Pool,35.56407062,139.5943666
630,4be11c720f03a593a78f18b4,Gym / Fitness Center,35.69091208,139.7019526
661,4c318f3266e40f47273bc58b,Gym / Fitness Center,35.70673024,139.6875358
693,4e8024cfbe7bf891816f6e94,Music Venue,35.67742302,139.6450025
943,4d78a21c71a68cfa88320886,Salon / Barbershop,35.650741,139.701067
967,4d5497cb96ed5481f7a5ff6f,Arcade,35.7294609,139.6828922
994,4bd2e9b041b9ef3b01dcfee5,Movie Theater,35.58849528,139.7304082
997,4ed98a4f8b8173160b534964,Concert Hall,35.70463301,139.7530179
1038,4b5bc476f964a520fe1429e3,Art Museum,35.7168263,139.7733475
1057,4cd8e443145fa1cdbfdb08bd,Arcade,35.70073836,139.7718832
1093,4d2827c0ec272d43a14e354c,Gym / Fitness Center,35.65160883,139.5446518
1125,4d31962a72a8b1f7976495d0,Arcade,35.749011,139.702502
1153,4b6d2824f964a5203b692ce3,Movie Theater,35.66085722,139.6999222
1164,4b73ab38f964a520e1b72de3,Arcade,35.6987671,139.770121
1172,4b23b8f9f964a520915824e3,Spa / Massage,35.65326997,139.6155289
1204,4b7fa4f4f964a520023830e3,Music Venue,35.66582255,139.699679
1219,4ed46cfbe3007ce6d723abbf,Salon / Barbershop,35.707044,139.651722
1249,4b949524f964a520fb7d34e3,Arcade,35.71259319,139.7042996
1287,4b62b281f964a520684f2ae3,Arcade,35.69822577,139.7753695
1291,4d86e53e509137043f61b55b,Bowling Alley,35.66722908,139.4774276
1317,4da11c39b521224bee12eeed,Gym / Fitness Center,35.59754277,139.7123519
1328,4b74db40f964a52078f52de3,Movie Theater,35.69191851,139.7056863
1331,4be2aabaf07b0f4749dbf543,Salon / Barbershop,35.6553261,139.7925389
1350,4e9eb494cc215c691537b106,Arcade,35.6176778,139.5654855
1352,4ef498720cd67001b085280c,Arcade,35.76133997,139.7217044
1380,4b598c34f964a520f78b28e3,Arcade,35.6990372,139.7708626
1382,4c902f2a352da1cd94d10fb2,Arcade,35.70918263,139.6654665
1423,4bcaae810687ef3ba792dccc,Concert Hall,35.67254148,139.735263
1435,4b7f9f0cf964a520163730e3,Pool,35.69703323,139.6576399
1467,4b5585f7f964a5206ee627e3,Arcade,35.68987515,139.7022665
1473,4c1bfe77b9f876b09b347b46,Laundry Service,35.64543974,139.558087
1482,4cf2066a94feb1f74e401bba,Spa / Massage,35.66628731,139.6021864
1514,4b8a20bff964a5201e6132e3,Gym / Fitness Center,35.70894633,139.7367646
1528,4df31e071f6e818dadffb8cf,Laundry Service,35.85931132,139.6508887
1537,4bbe680885fbb713a2bf7067,Arcade,35.61626219,139.5640975
1544,4bf556a8706e20a1ba50aa98,Bowling Alley,35.83079223,139.6742213
1567,4c9d72487d69b7132c4a28c2,Arcade,35.73235432,139.8805657
1587,4b5be55ff964a520281c29e3,Art Museum,35.69046768,139.7545803
1595,4b776fc8f964a520579a2ee3,Science Museum,35.69148283,139.7531426
1614,4b688266f964a520e47c2be3,Gaming Cafe,35.527089,139.6944105
1625,4cfdeeced8468cfa4704036c,Arcade,35.698025,139.772411
1633,4c3d624f933b0f478962e521,Arcade,35.570559,139.554593
1636,4b55d735f964a52055f227e3,Movie Theater,35.69268748,139.7036612
1640,4dce6f49fa7664b7c6a6fd3e,Arcade,35.6572592,139.5680353
1660,4b6e911bf964a5204bc22ce3,Spa / Massage,35.63951898,139.7520688
1671,4ba03c8cf964a520736337e3,Arcade,35.665666,139.7600792
1678,4cd6693ddfb4a1cd17165f5c,Music Venue,35.66250557,139.6987504
1681,4bd90fd511dcc92858e6f833,Aquarium,35.58854163,139.7373826
1688,4bde71360d69b71346f865d3,Music Venue,35.7011599,139.6971677
1692,4b5c0c8cf964a520682229e3,Arcade,35.53312552,139.6949708
1699,4c0cab9b98102d7f5d04e106,Arcade,35.70453044,139.6491748
1708,4b5ede16f964a520999b29e3,Movie Theater,35.65956273,139.729346
1709,4b5ebd8ff964a520499729e3,Concert Hall,35.68340923,139.7434062
1711,4b7f448af964a520b42330e3,Gym / Fitness Center,35.70066427,139.4797967
1739,4c0207b5f815a59362410a96,Gym / Fitness Center,35.65118729,139.5578993
1764,4b74f7b7f964a520a1f92de3,Movie Theater,35.663257,139.733813
